Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,In stock?,Stock status,Manage stock?,Stock,Backorders allowed?,Attribute 1 name,Attribute 1 value(s),Attribute 1 default,Attribute 1 visible,Attribute 1 global,Attribute 1 variation,Images,Parent,Description,Short description
variation,tutx-gen1-019,TUTX一代系列 - 鳳梨,1,0,visible,299,1,instock,0,999,0,口味,鳳梨,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-020,TUTX一代系列 - 蔓越莓,1,0,visible,299,1,instock,0,999,0,口味,蔓越莓,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-021,TUTX一代系列 - 龍井,1,0,visible,299,1,instock,0,999,0,口味,龍井,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-022,TUTX一代系列 - 薄荷,1,0,visible,299,1,instock,0,999,0,口味,薄荷,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-023,TUTX一代系列 - 檸檬海鹽,1,0,visible,299,1,instock,0,999,0,口味,檸檬海鹽,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-024,TUTX一代系列 - 藍莓,1,0,visible,299,1,instock,0,999,0,口味,藍莓,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-025,TUTX一代系列 - 礦力,1,0,visible,299,1,instock,0,999,0,口味,礦力,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-026,TUTX一代系列 - 鐵觀音,1,0,visible,299,1,instock,0,999,0,口味,鐵觀音,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variable,diya-7500,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙,1,0,visible,,1,instock,0,999,0,口味,"冬瓜冷露, 雪碧, 養樂多, 可口可樂, 夏日酷飲（檸檬海鹽）, 白玉山竹, 芭樂, 荔枝, 百香果, 西瓜, 藍莓, 葡萄, 哈密瓜, 芒果, 櫻桃, 草莓西瓜, 薔薇布林（首薇布林）, 鐵觀音, 神仙薄荷, 玫瑰茉莉, 冰清玉露, 童年冰棍, 冰冰爆爆",冬瓜冷露,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,,"<h2>DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙</h2>
<p>台灣現貨發貨。大口數一次性拋棄式，開箱即用，口味請在規格中選擇。</p>
<p><strong>可選規格</strong>：冬瓜冷露、雪碧、養樂多、可口可樂、夏日酷飲（檸檬海鹽）、白玉山竹、芭樂、荔枝等共 23 款（請於下單頁「口味」下拉選擇）。</p>
<ul>
<li>商品編號 SKU：diya-7500</li>
<li>配送：台灣本島，支援<strong>貨到付款</strong></li>
<li>客服：下單前可透過 <strong>LINE ID</strong> 確認口味／配色與庫存</li>
</ul>
<p>台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。</p>
<p>※ 未滿 18 歲請勿購買；請依當地法規使用電子煙相關產品。</p>",台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-001,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 冬瓜冷露,1,0,visible,209,1,instock,0,999,0,口味,冬瓜冷露,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-002,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 雪碧,1,0,visible,209,1,instock,0,999,0,口味,雪碧,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-003,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 養樂多,1,0,visible,209,1,instock,0,999,0,口味,養樂多,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-004,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 可口可樂,1,0,visible,209,1,instock,0,999,0,口味,可口可樂,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-005,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 夏日酷飲（檸檬海鹽）,1,0,visible,209,1,instock,0,999,0,口味,夏日酷飲（檸檬海鹽）,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-006,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 白玉山竹,1,0,visible,209,1,instock,0,999,0,口味,白玉山竹,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-007,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 芭樂,1,0,visible,209,1,instock,0,999,0,口味,芭樂,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-008,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 荔枝,1,0,visible,209,1,instock,0,999,0,口味,荔枝,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-009,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 百香果,1,0,visible,209,1,instock,0,999,0,口味,百香果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-010,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 西瓜,1,0,visible,209,1,instock,0,999,0,口味,西瓜,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-011,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 藍莓,1,0,visible,209,1,instock,0,999,0,口味,藍莓,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,diya-7500-012,DIYA 叮啞拋棄式 7500 口大容量可充電一次性電子煙 - 葡萄,1,0,visible,209,1,instock,0,999,0,口味,葡萄,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/disposable-diya-7500.webp,diya-7500,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
